areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
N92000002,Northern Ireland,nation,2021-09-06,3308
N92000002,Northern Ireland,nation,2021-09-05,3303
N92000002,Northern Ireland,nation,2021-09-04,3289
N92000002,Northern Ireland,nation,2021-09-03,3282
N92000002,Northern Ireland,nation,2021-09-02,3274
N92000002,Northern Ireland,nation,2021-09-01,3265
N92000002,Northern Ireland,nation,2021-08-31,3255
N92000002,Northern Ireland,nation,2021-08-30,3246
N92000002,Northern Ireland,nation,2021-08-29,3241
N92000002,Northern Ireland,nation,2021-08-28,3232
N92000002,Northern Ireland,nation,2021-08-27,3218
N92000002,Northern Ireland,nation,2021-08-26,3211
N92000002,Northern Ireland,nation,2021-08-25,3203
N92000002,Northern Ireland,nation,2021-08-24,3194
N92000002,Northern Ireland,nation,2021-08-23,3188
N92000002,Northern Ireland,nation,2021-08-22,3177
N92000002,Northern Ireland,nation,2021-08-21,3167
N92000002,Northern Ireland,nation,2021-08-20,3154
N92000002,Northern Ireland,nation,2021-08-19,3147
N92000002,Northern Ireland,nation,2021-08-18,3141
N92000002,Northern Ireland,nation,2021-08-17,3128
N92000002,Northern Ireland,nation,2021-08-16,3120
N92000002,Northern Ireland,nation,2021-08-15,3114
N92000002,Northern Ireland,nation,2021-08-14,3110
N92000002,Northern Ireland,nation,2021-08-13,3106
N92000002,Northern Ireland,nation,2021-08-12,3100
N92000002,Northern Ireland,nation,2021-08-11,3093
N92000002,Northern Ireland,nation,2021-08-10,3088
N92000002,Northern Ireland,nation,2021-08-09,3085
N92000002,Northern Ireland,nation,2021-08-08,3082
N92000002,Northern Ireland,nation,2021-08-07,3073
N92000002,Northern Ireland,nation,2021-08-06,3067
N92000002,Northern Ireland,nation,2021-08-05,3063
N92000002,Northern Ireland,nation,2021-08-04,3059
N92000002,Northern Ireland,nation,2021-08-03,3054
N92000002,Northern Ireland,nation,2021-08-02,3052
N92000002,Northern Ireland,nation,2021-08-01,3047
N92000002,Northern Ireland,nation,2021-07-31,3040
N92000002,Northern Ireland,nation,2021-07-30,3033
N92000002,Northern Ireland,nation,2021-07-29,3026
N92000002,Northern Ireland,nation,2021-07-28,3019
N92000002,Northern Ireland,nation,2021-07-27,3016
N92000002,Northern Ireland,nation,2021-07-26,3013
N92000002,Northern Ireland,nation,2021-07-25,3013
N92000002,Northern Ireland,nation,2021-07-24,3011
N92000002,Northern Ireland,nation,2021-07-23,3009
N92000002,Northern Ireland,nation,2021-07-22,3006
N92000002,Northern Ireland,nation,2021-07-21,3003
N92000002,Northern Ireland,nation,2021-07-20,3001
N92000002,Northern Ireland,nation,2021-07-19,2998
N92000002,Northern Ireland,nation,2021-07-18,2997
N92000002,Northern Ireland,nation,2021-07-17,2996
N92000002,Northern Ireland,nation,2021-07-16,2995
N92000002,Northern Ireland,nation,2021-07-15,2992
N92000002,Northern Ireland,nation,2021-07-14,2992
N92000002,Northern Ireland,nation,2021-07-13,2992
N92000002,Northern Ireland,nation,2021-07-12,2992
N92000002,Northern Ireland,nation,2021-07-11,2992
N92000002,Northern Ireland,nation,2021-07-10,2991
N92000002,Northern Ireland,nation,2021-07-09,2990
N92000002,Northern Ireland,nation,2021-07-08,2989
N92000002,Northern Ireland,nation,2021-07-07,2988
N92000002,Northern Ireland,nation,2021-07-06,2988
N92000002,Northern Ireland,nation,2021-07-05,2988
N92000002,Northern Ireland,nation,2021-07-04,2988
N92000002,Northern Ireland,nation,2021-07-03,2987
N92000002,Northern Ireland,nation,2021-07-02,2985
N92000002,Northern Ireland,nation,2021-07-01,2984
N92000002,Northern Ireland,nation,2021-06-30,2983
N92000002,Northern Ireland,nation,2021-06-29,2983
N92000002,Northern Ireland,nation,2021-06-28,2983
N92000002,Northern Ireland,nation,2021-06-27,2983
N92000002,Northern Ireland,nation,2021-06-26,2983
N92000002,Northern Ireland,nation,2021-06-25,2983
N92000002,Northern Ireland,nation,2021-06-24,2983
N92000002,Northern Ireland,nation,2021-06-23,2982
N92000002,Northern Ireland,nation,2021-06-22,2981
N92000002,Northern Ireland,nation,2021-06-21,2981
N92000002,Northern Ireland,nation,2021-06-20,2981
N92000002,Northern Ireland,nation,2021-06-19,2981
N92000002,Northern Ireland,nation,2021-06-18,2981
N92000002,Northern Ireland,nation,2021-06-17,2981
N92000002,Northern Ireland,nation,2021-06-16,2981
N92000002,Northern Ireland,nation,2021-06-15,2981
N92000002,Northern Ireland,nation,2021-06-14,2981
N92000002,Northern Ireland,nation,2021-06-13,2981
N92000002,Northern Ireland,nation,2021-06-12,2981
N92000002,Northern Ireland,nation,2021-06-11,2980
N92000002,Northern Ireland,nation,2021-06-10,2979
N92000002,Northern Ireland,nation,2021-06-09,2979
N92000002,Northern Ireland,nation,2021-06-08,2979
N92000002,Northern Ireland,nation,2021-06-07,2978
N92000002,Northern Ireland,nation,2021-06-06,2978
N92000002,Northern Ireland,nation,2021-06-05,2978
N92000002,Northern Ireland,nation,2021-06-04,2978
N92000002,Northern Ireland,nation,2021-06-03,2978
N92000002,Northern Ireland,nation,2021-06-02,2978
N92000002,Northern Ireland,nation,2021-06-01,2977
N92000002,Northern Ireland,nation,2021-05-31,2977
N92000002,Northern Ireland,nation,2021-05-30,2976
N92000002,Northern Ireland,nation,2021-05-29,2976
N92000002,Northern Ireland,nation,2021-05-28,2976
N92000002,Northern Ireland,nation,2021-05-27,2975
N92000002,Northern Ireland,nation,2021-05-26,2975
N92000002,Northern Ireland,nation,2021-05-25,2975
N92000002,Northern Ireland,nation,2021-05-24,2975
N92000002,Northern Ireland,nation,2021-05-23,2974
N92000002,Northern Ireland,nation,2021-05-22,2973
N92000002,Northern Ireland,nation,2021-05-21,2973
N92000002,Northern Ireland,nation,2021-05-20,2972
N92000002,Northern Ireland,nation,2021-05-19,2972
N92000002,Northern Ireland,nation,2021-05-18,2972
N92000002,Northern Ireland,nation,2021-05-17,2971
N92000002,Northern Ireland,nation,2021-05-16,2971
N92000002,Northern Ireland,nation,2021-05-15,2969
N92000002,Northern Ireland,nation,2021-05-14,2969
N92000002,Northern Ireland,nation,2021-05-13,2968
N92000002,Northern Ireland,nation,2021-05-12,2966
N92000002,Northern Ireland,nation,2021-05-11,2966
N92000002,Northern Ireland,nation,2021-05-10,2964
N92000002,Northern Ireland,nation,2021-05-09,2964
N92000002,Northern Ireland,nation,2021-05-08,2964
N92000002,Northern Ireland,nation,2021-05-07,2963
N92000002,Northern Ireland,nation,2021-05-06,2963
N92000002,Northern Ireland,nation,2021-05-05,2962
N92000002,Northern Ireland,nation,2021-05-04,2962
N92000002,Northern Ireland,nation,2021-05-03,2962
N92000002,Northern Ireland,nation,2021-05-02,2962
N92000002,Northern Ireland,nation,2021-05-01,2962
N92000002,Northern Ireland,nation,2021-04-30,2961
N92000002,Northern Ireland,nation,2021-04-29,2961
N92000002,Northern Ireland,nation,2021-04-28,2961
N92000002,Northern Ireland,nation,2021-04-27,2961
N92000002,Northern Ireland,nation,2021-04-26,2960
N92000002,Northern Ireland,nation,2021-04-25,2960
N92000002,Northern Ireland,nation,2021-04-24,2959
N92000002,Northern Ireland,nation,2021-04-23,2958
N92000002,Northern Ireland,nation,2021-04-22,2958
N92000002,Northern Ireland,nation,2021-04-21,2955
N92000002,Northern Ireland,nation,2021-04-20,2952
N92000002,Northern Ireland,nation,2021-04-19,2952
N92000002,Northern Ireland,nation,2021-04-18,2951
N92000002,Northern Ireland,nation,2021-04-17,2951
N92000002,Northern Ireland,nation,2021-04-16,2950
N92000002,Northern Ireland,nation,2021-04-15,2949
N92000002,Northern Ireland,nation,2021-04-14,2949
N92000002,Northern Ireland,nation,2021-04-13,2946
N92000002,Northern Ireland,nation,2021-04-12,2943
N92000002,Northern Ireland,nation,2021-04-11,2943
N92000002,Northern Ireland,nation,2021-04-10,2941
N92000002,Northern Ireland,nation,2021-04-09,2940
N92000002,Northern Ireland,nation,2021-04-08,2938
N92000002,Northern Ireland,nation,2021-04-07,2935
N92000002,Northern Ireland,nation,2021-04-06,2933
N92000002,Northern Ireland,nation,2021-04-05,2931
N92000002,Northern Ireland,nation,2021-04-04,2928
N92000002,Northern Ireland,nation,2021-04-03,2927
N92000002,Northern Ireland,nation,2021-04-02,2925
N92000002,Northern Ireland,nation,2021-04-01,2923
N92000002,Northern Ireland,nation,2021-03-31,2921
N92000002,Northern Ireland,nation,2021-03-30,2921
N92000002,Northern Ireland,nation,2021-03-29,2920
N92000002,Northern Ireland,nation,2021-03-28,2916
N92000002,Northern Ireland,nation,2021-03-27,2915
N92000002,Northern Ireland,nation,2021-03-26,2913
N92000002,Northern Ireland,nation,2021-03-25,2909
N92000002,Northern Ireland,nation,2021-03-24,2909
N92000002,Northern Ireland,nation,2021-03-23,2909
N92000002,Northern Ireland,nation,2021-03-22,2908
N92000002,Northern Ireland,nation,2021-03-21,2904
N92000002,Northern Ireland,nation,2021-03-20,2901
