areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
S92000003,Scotland,nation,2021-08-25,8121,4095476,3626765
S92000003,Scotland,nation,2021-08-24,8116,4092115,3612173
S92000003,Scotland,nation,2021-08-23,8112,4088885,3595520
S92000003,Scotland,nation,2021-08-22,8105,4086096,3580297
S92000003,Scotland,nation,2021-08-21,8101,4082950,3566011
S92000003,Scotland,nation,2021-08-20,8096,4079216,3550442
S92000003,Scotland,nation,2021-08-19,8089,4075236,3535844
S92000003,Scotland,nation,2021-08-18,8082,4072622,3521794
S92000003,Scotland,nation,2021-08-17,8075,4069918,3507453
S92000003,Scotland,nation,2021-08-16,8071,4066291,3491150
S92000003,Scotland,nation,2021-08-15,8068,4062515,3476503
S92000003,Scotland,nation,2021-08-14,8062,4058919,3459429
S92000003,Scotland,nation,2021-08-13,8056,4054108,3440230
S92000003,Scotland,nation,2021-08-12,8046,4049026,3421954
S92000003,Scotland,nation,2021-08-11,8042,4043259,3403346
S92000003,Scotland,nation,2021-08-10,8039,4038498,3384918
S92000003,Scotland,nation,2021-08-09,8034,4033617,3367261
S92000003,Scotland,nation,2021-08-08,8028,4030930,3351431
S92000003,Scotland,nation,2021-08-07,8022,4028959,3333449
S92000003,Scotland,nation,2021-08-06,8016,4027090,3315264
S92000003,Scotland,nation,2021-08-05,8009,4025028,3295969
S92000003,Scotland,nation,2021-08-04,8002,4023193,3279394
S92000003,Scotland,nation,2021-08-03,7996,4021073,3260223
S92000003,Scotland,nation,2021-08-02,7993,4018907,3241682
S92000003,Scotland,nation,2021-08-01,7986,4017154,3224564
S92000003,Scotland,nation,2021-07-31,7976,4015833,3208516
S92000003,Scotland,nation,2021-07-30,7970,4014350,3189630
S92000003,Scotland,nation,2021-07-29,7963,4012281,3172210
S92000003,Scotland,nation,2021-07-28,7957,4010331,3154834
S92000003,Scotland,nation,2021-07-27,7948,4007902,3135068
S92000003,Scotland,nation,2021-07-26,7940,4005688,3118367
S92000003,Scotland,nation,2021-07-25,7933,4003670,3101425
S92000003,Scotland,nation,2021-07-24,7928,4002167,3088788
S92000003,Scotland,nation,2021-07-23,7925,4000158,3074154
S92000003,Scotland,nation,2021-07-22,7918,3997715,3055230
S92000003,Scotland,nation,2021-07-21,7909,3995495,3038950
