areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDailyNsoDeathsByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2021-07-06,4958868,154580,45514492,34027302
K02000001,United Kingdom,overview,2021-07-05,4930534,154546,45428681,33874176
K02000001,United Kingdom,overview,2021-07-04,4903434,154518,45351719,33726362
K02000001,United Kingdom,overview,2021-07-03,4879616,154489,45274497,33614952
K02000001,United Kingdom,overview,2021-07-02,4855169,154458,45137108,33418743
K02000001,United Kingdom,overview,2021-07-01,4828463,154428,45013503,33241265
K02000001,United Kingdom,overview,2021-06-30,4800907,154400,44860978,33048199
K02000001,United Kingdom,overview,2021-06-29,4775301,154374,44719762,32872450
K02000001,United Kingdom,overview,2021-06-28,4755078,154350,44581771,32721762
K02000001,United Kingdom,overview,2021-06-27,4732434,154332,44454511,32583746
K02000001,United Kingdom,overview,2021-06-26,4717811,154308,44314799,32460191
K02000001,United Kingdom,overview,2021-06-25,4699868,154291,44080358,32260686
K02000001,United Kingdom,overview,2021-06-24,4684572,154270,43877861,32085916
K02000001,United Kingdom,overview,2021-06-23,4667870,154242,43656327,31908103
K02000001,United Kingdom,overview,2021-06-22,4651988,154234,43448680,31740115
K02000001,United Kingdom,overview,2021-06-21,4640507,154217,43148843,31489240
K02000001,United Kingdom,overview,2021-06-20,4630040,154205,43127763,31449915
K02000001,United Kingdom,overview,2021-06-19,4620968,154184,42964013,31340507
K02000001,United Kingdom,overview,2021-06-18,4610893,154164,42683772,31104144
K02000001,United Kingdom,overview,2021-06-17,4600623,154146,42460632,30898467
K02000001,United Kingdom,overview,2021-06-16,4589814,154137,42216654,30675207
K02000001,United Kingdom,overview,2021-06-15,4581006,154124,42021089,30440373
K02000001,United Kingdom,overview,2021-06-14,4573419,154104,41831056,30209707
K02000001,United Kingdom,overview,2021-06-13,4565813,154092,41698429,29973779
K02000001,United Kingdom,overview,2021-06-12,4558494,154080,41551201,29792658
K02000001,United Kingdom,overview,2021-06-11,4550944,154069,41297016,29472332
K02000001,United Kingdom,overview,2021-06-10,4542986,154056,41088485,29165140
K02000001,United Kingdom,overview,2021-06-09,4535754,154040,40886878,28857102
K02000001,United Kingdom,overview,2021-06-08,4528442,154023,40710319,28540844
K02000001,United Kingdom,overview,2021-06-07,4522476,154008,40573517,28227362
K02000001,United Kingdom,overview,2021-06-06,4516892,154002,40460576,27921294
K02000001,United Kingdom,overview,2021-06-05,4511669,153989,40333231,27661353
K02000001,United Kingdom,overview,2021-06-04,4506018,153983,40129618,27187975
K02000001,United Kingdom,overview,2021-06-03,4499878,153970,39949694,26799944
K02000001,United Kingdom,overview,2021-06-02,4494699,153954,39758428,26422303
K02000001,United Kingdom,overview,2021-06-01,4490438,153942,39585665,26073284
K02000001,United Kingdom,overview,2021-05-31,4487339,153932,39477158,25734719
K02000001,United Kingdom,overview,2021-05-30,4484056,153921,39384055,25539173
K02000001,United Kingdom,overview,2021-05-29,4480945,153913,39259168,25332851
K02000001,United Kingdom,overview,2021-05-28,4477705,153901,39075642,24914003
K02000001,United Kingdom,overview,2021-05-27,4473677,153888,38871200,24478052
K02000001,United Kingdom,overview,2021-05-26,4470297,153880,38614683,24043956
K02000001,United Kingdom,overview,2021-05-25,4467310,153866,38378564,23616498
K02000001,United Kingdom,overview,2021-05-24,4464900,153856,38192417,23228511
K02000001,United Kingdom,overview,2021-05-23,4462538,153840,38070038,22895556
K02000001,United Kingdom,overview,2021-05-22,4460446,153824,37943681,22643417
K02000001,United Kingdom,overview,2021-05-21,4457923,153820,37738271,22086466
K02000001,United Kingdom,overview,2021-05-20,4455221,153802,37518614,21659783
K02000001,United Kingdom,overview,2021-05-19,4452527,153795,37250363,21239471
K02000001,United Kingdom,overview,2021-05-18,4450392,153791,36985505,20870453
K02000001,United Kingdom,overview,2021-05-17,4452756,153780,36811405,20546452
K02000001,United Kingdom,overview,2021-05-16,4450777,153767,36704672,20287403
K02000001,United Kingdom,overview,2021-05-15,4448851,153753,36573354,20103658
K02000001,United Kingdom,overview,2021-05-14,4446824,153738,36336023,19712412
K02000001,United Kingdom,overview,2021-05-13,4444631,153724,36115955,19319010
K02000001,United Kingdom,overview,2021-05-12,4441975,153709,35906671,18890969
K02000001,United Kingdom,overview,2021-05-11,4439691,153694,35722461,18438532
K02000001,United Kingdom,overview,2021-05-10,4437217,153673,35587348,18088385
K02000001,United Kingdom,overview,2021-05-09,4434860,153665,35472295,17856550
K02000001,United Kingdom,overview,2021-05-08,4433090,153654,35371669,17669379
K02000001,United Kingdom,overview,2021-05-07,4431043,153634,35202642,17230542
K02000001,United Kingdom,overview,2021-05-06,4428553,153617,35069641,16764720
K02000001,United Kingdom,overview,2021-05-05,4425940,153600,34934171,16291719
K02000001,United Kingdom,overview,2021-05-04,4423796,153578,34795074,15887493
K02000001,United Kingdom,overview,2021-05-03,4421850,153563,34667904,15630007
K02000001,United Kingdom,overview,2021-05-02,4420201,153546,34595304,15502508
K02000001,United Kingdom,overview,2021-05-01,4418530,153528,34505380,15329617
K02000001,United Kingdom,overview,2021-04-30,4416623,153513,34362205,14957313
K02000001,United Kingdom,overview,2021-04-29,4414242,153497,34216616,14535528
K02000001,United Kingdom,overview,2021-04-28,4411797,153480,34094048,14043961
K02000001,United Kingdom,overview,2021-04-27,4409631,153459,33959908,13581076
K02000001,United Kingdom,overview,2021-04-26,4406946,153433,33843580,13201811
K02000001,United Kingdom,overview,2021-04-25,4404882,153411,33752885,12897123
K02000001,United Kingdom,overview,2021-04-24,4403170,153385,33673190,12636322
K02000001,United Kingdom,overview,2021-04-23,4401109,153361,33524423,12088686
K02000001,United Kingdom,overview,2021-04-22,4398431,153332,33388637,11623671
K02000001,United Kingdom,overview,2021-04-21,4395703,153299,33257651,11192601
K02000001,United Kingdom,overview,2021-04-20,4393307,153264,33139742,10775817
K02000001,United Kingdom,overview,2021-04-19,4390783,153229,33032120,10425790
K02000001,United Kingdom,overview,2021-04-18,4387820,153206,32932448,10152039
K02000001,United Kingdom,overview,2021-04-17,4385938,153176,32849223,9930846
K02000001,United Kingdom,overview,2021-04-16,4383732,153136,32709778,9431211
K02000001,United Kingdom,overview,2021-04-15,4380976,153106,32574221,8931547
K02000001,United Kingdom,overview,2021-04-14,4378305,153064,32444439,8513864
K02000001,United Kingdom,overview,2021-04-13,4375814,153030,32326604,8170081
K02000001,United Kingdom,overview,2021-04-12,4373343,152983,32250481,7857396
K02000001,United Kingdom,overview,2021-04-11,4369775,152946,32190576,7656205
K02000001,United Kingdom,overview,2021-04-10,4368045,152907,32121353,7466540
K02000001,United Kingdom,overview,2021-04-09,4365461,152864,32010244,6991310
K02000001,United Kingdom,overview,2021-04-08,4370321,152826,31903366,6541174
K02000001,United Kingdom,overview,2021-04-07,4367291,152766,31807124,6091905
K02000001,United Kingdom,overview,2021-04-06,4364529,152721,31707594,5683509
K02000001,United Kingdom,overview,2021-04-05,4362150,152676,31622367,5496716
K02000001,United Kingdom,overview,2021-04-04,4359388,152632,31581623,5432126
K02000001,United Kingdom,overview,2021-04-03,4357091,152581,31533568,5384418
K02000001,United Kingdom,overview,2021-04-02,4353668,152541,31425682,5205505
K02000001,United Kingdom,overview,2021-04-01,4350266,152491,31318262,4958874
K02000001,United Kingdom,overview,2021-03-31,4345788,152428,31147444,4513458
K02000001,United Kingdom,overview,2021-03-30,4341736,152354,30908010,4125884
K02000001,United Kingdom,overview,2021-03-29,4337696,152300,30682093,3848202
K02000001,United Kingdom,overview,2021-03-28,4333042,152232,30445284,3679972
K02000001,United Kingdom,overview,2021-03-27,4329180,152183,30151736,3532378
K02000001,United Kingdom,overview,2021-03-26,4325315,152120,29727435,3293517
K02000001,United Kingdom,overview,2021-03-25,4319128,152046,29316130,3009863
K02000001,United Kingdom,overview,2021-03-24,4312908,151968,28991188,2775481
K02000001,United Kingdom,overview,2021-03-23,4307304,151898,28653523,2532839
K02000001,United Kingdom,overview,2021-03-22,4301925,151805,28327873,2363684
K02000001,United Kingdom,overview,2021-03-21,4296583,151700,27997976,2281384
K02000001,United Kingdom,overview,2021-03-20,4291271,151577,27630970,2228772
K02000001,United Kingdom,overview,2021-03-19,4285684,151478,26878662,2136795
K02000001,United Kingdom,overview,2021-03-18,4280882,151376,26263732,2011070
K02000001,United Kingdom,overview,2021-03-17,4274579,151277,25735472,1879054
K02000001,United Kingdom,overview,2021-03-16,4268821,151151,25273226,1759445
K02000001,United Kingdom,overview,2021-03-15,4263527,151037,24839906,1663646
K02000001,United Kingdom,overview,2021-03-14,4258438,150902,24453221,1610280
K02000001,United Kingdom,overview,2021-03-13,4253820,150769,24196211,1584909
K02000001,United Kingdom,overview,2021-03-12,4248286,150635,23684103,1532754
K02000001,United Kingdom,overview,2021-03-11,4241677,150501,23314525,1445078
K02000001,United Kingdom,overview,2021-03-10,4234924,150329,23053716,1351515
K02000001,United Kingdom,overview,2021-03-09,4228998,150169,22809829,1254353
K02000001,United Kingdom,overview,2021-03-08,4223232,149984,22592528,1181431
K02000001,United Kingdom,overview,2021-03-07,4218520,149788,22377255,1142643
K02000001,United Kingdom,overview,2021-03-06,4213343,149594,22213112,1122402
K02000001,United Kingdom,overview,2021-03-05,4207304,149384,21796278,1090840
K02000001,United Kingdom,overview,2021-03-04,4201358,149162,21358815,1034068
K02000001,United Kingdom,overview,2021-03-03,4194785,148929,20982571,963862
K02000001,United Kingdom,overview,2021-03-02,4188400,148715,20703615,895412
K02000001,United Kingdom,overview,2021-03-01,4182009,148472,20478619,844098
K02000001,United Kingdom,overview,2021-02-28,4176554,148180,20275451,815816
K02000001,United Kingdom,overview,2021-02-27,4170519,147902,20089551,796132
K02000001,United Kingdom,overview,2021-02-26,4163085,147596,19682048,768810
K02000001,United Kingdom,overview,2021-02-25,4154562,147295,19177555,736037
K02000001,United Kingdom,overview,2021-02-24,4144577,146946,18691835,700718
K02000001,United Kingdom,overview,2021-02-23,4134639,146583,18242873,669105
K02000001,United Kingdom,overview,2021-02-22,4126150,146206,17916181,642788
K02000001,United Kingdom,overview,2021-02-21,4115509,145831,17723840,624325
K02000001,United Kingdom,overview,2021-02-20,4105675,145420,17582121,615148
K02000001,United Kingdom,overview,2021-02-19,4095269,144971,17247442,604885
K02000001,United Kingdom,overview,2021-02-18,4083242,144506,16875536,589591
K02000001,United Kingdom,overview,2021-02-17,4071185,143986,16423082,573724
K02000001,United Kingdom,overview,2021-02-16,4058468,143482,15940972,558577
K02000001,United Kingdom,overview,2021-02-15,4047843,142917,15576107,546165
K02000001,United Kingdom,overview,2021-02-14,4038078,142306,15300151,539630
K02000001,United Kingdom,overview,2021-02-13,4027106,141706,15062189,537715
K02000001,United Kingdom,overview,2021-02-12,4013799,141124,14556827,534869
K02000001,United Kingdom,overview,2021-02-11,3998655,140491,14012224,530094
K02000001,United Kingdom,overview,2021-02-10,3985161,139823,13509108,524447
K02000001,United Kingdom,overview,2021-02-09,3972148,139114,13058298,519553
K02000001,United Kingdom,overview,2021-02-08,3959784,138392,12646486,516392
K02000001,United Kingdom,overview,2021-02-07,3945680,137614,12294006,512581
K02000001,United Kingdom,overview,2021-02-06,3929835,136863,12015018,511719
K02000001,United Kingdom,overview,2021-02-05,3911573,136080,11465210,510057
K02000001,United Kingdom,overview,2021-02-04,3892459,135209,10971047,505993
K02000001,United Kingdom,overview,2021-02-03,3871825,134383,10490487,501957
K02000001,United Kingdom,overview,2021-02-02,3852623,133416,10021471,498962
K02000001,United Kingdom,overview,2021-02-01,3835783,132457,9646715,496796
K02000001,United Kingdom,overview,2021-01-31,3817176,131453,9296367,494209
K02000001,United Kingdom,overview,2021-01-30,3796088,130461,8977329,491053
K02000001,United Kingdom,overview,2021-01-29,3772813,129438,8378940,480432
K02000001,United Kingdom,overview,2021-01-28,3743734,128285,7891184,478254
K02000001,United Kingdom,overview,2021-01-27,3715054,127063,7476765,476485
K02000001,United Kingdom,overview,2021-01-26,3689746,125836,7164387,474156
K02000001,United Kingdom,overview,2021-01-25,3669658,124667,6853327,472446
K02000001,United Kingdom,overview,2021-01-24,3647463,123412,6573570,470478
K02000001,United Kingdom,overview,2021-01-23,3617459,122179,6353321,469660
K02000001,United Kingdom,overview,2021-01-22,3583907,120897,5861351,468617
K02000001,United Kingdom,overview,2021-01-21,3543646,119565,5383103,466796
K02000001,United Kingdom,overview,2021-01-20,3505754,118222,4973248,464036
K02000001,United Kingdom,overview,2021-01-19,3466849,116844,4609740,460625
K02000001,United Kingdom,overview,2021-01-18,3433494,115360,4266577,456866
K02000001,United Kingdom,overview,2021-01-17,3395959,113961,4062501,452301
K02000001,United Kingdom,overview,2021-01-16,3357361,112606,3872394,450062
K02000001,United Kingdom,overview,2021-01-15,3316019,111192,3576263,447442
K02000001,United Kingdom,overview,2021-01-14,3260258,109873,3234946,443234
K02000001,United Kingdom,overview,2021-01-13,3211576,108536,2918252,437977
K02000001,United Kingdom,overview,2021-01-12,3164051,107233,2639309,428232
K02000001,United Kingdom,overview,2021-01-11,3118518,105918,2431648,412167
K02000001,United Kingdom,overview,2021-01-10,3072349,104680,2286572,391399
K02000001,United Kingdom,overview,2021-01-09,3017409,103512,,
K02000001,United Kingdom,overview,2021-01-08,2957472,102421,,
K02000001,United Kingdom,overview,2021-01-07,2889419,101369,,
K02000001,United Kingdom,overview,2021-01-06,2836801,100316,,
K02000001,United Kingdom,overview,2021-01-05,2774479,99302,,
K02000001,United Kingdom,overview,2021-01-04,2713563,98339,,
K02000001,United Kingdom,overview,2021-01-03,2654779,97444,,
K02000001,United Kingdom,overview,2021-01-02,2599789,96637,,
K02000001,United Kingdom,overview,2021-01-01,2542065,95807,,
K02000001,United Kingdom,overview,2020-12-31,2488780,94998,,
K02000001,United Kingdom,overview,2020-12-30,2432888,94174,,
K02000001,United Kingdom,overview,2020-12-29,2382865,93414,,
K02000001,United Kingdom,overview,2020-12-28,2329730,92701,,
K02000001,United Kingdom,overview,2020-12-27,2288345,91978,,
K02000001,United Kingdom,overview,2020-12-26,2257844,91260,,
K02000001,United Kingdom,overview,2020-12-25,2222153,90568,,
K02000001,United Kingdom,overview,2020-12-24,2189428,89913,,
K02000001,United Kingdom,overview,2020-12-23,2149551,89297,,
K02000001,United Kingdom,overview,2020-12-22,2110314,88668,,
K02000001,United Kingdom,overview,2020-12-21,2073511,88039,,
K02000001,United Kingdom,overview,2020-12-20,2040147,87437,,
K02000001,United Kingdom,overview,2020-12-19,2004219,86886,,
K02000001,United Kingdom,overview,2020-12-18,1977167,86338,,
K02000001,United Kingdom,overview,2020-12-17,1948660,85752,,
K02000001,United Kingdom,overview,2020-12-16,1913277,85185,,
K02000001,United Kingdom,overview,2020-12-15,1888116,84701,,
K02000001,United Kingdom,overview,2020-12-14,1869666,84194,,
K02000001,United Kingdom,overview,2020-12-13,1849403,83688,,
K02000001,United Kingdom,overview,2020-12-12,1830956,83208,,
K02000001,United Kingdom,overview,2020-12-11,1809455,82720,,
K02000001,United Kingdom,overview,2020-12-10,1787783,82229,,
K02000001,United Kingdom,overview,2020-12-09,1766819,81733,,
K02000001,United Kingdom,overview,2020-12-08,1750241,81285,,
K02000001,United Kingdom,overview,2020-12-07,1737960,80813,,
K02000001,United Kingdom,overview,2020-12-06,1723242,80347,,
K02000001,United Kingdom,overview,2020-12-05,1705971,79911,,
