areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate,cumPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
E92000001,England,nation,2021-09-14,6284492,137683,36792817,40345554,36792817
E92000001,England,nation,2021-09-13,6262345,137542,36737267,40329594,36737267
E92000001,England,nation,2021-09-12,6237704,137451,36683765,40315603,36683765
E92000001,England,nation,2021-09-11,6220192,137325,36640804,40304689,36640804
E92000001,England,nation,2021-09-10,6203589,137199,36553292,40281349,36553292
E92000001,England,nation,2021-09-09,6183057,137061,36474320,40261136,36474320
E92000001,England,nation,2021-09-08,6159155,136904,36387760,40240628,36387760
E92000001,England,nation,2021-09-07,6134096,136776,36312693,40221741,36312693
E92000001,England,nation,2021-09-06,6106746,136634,36241913,40203660,36241913
E92000001,England,nation,2021-09-05,6074377,136498,36172031,40186778,36172031
E92000001,England,nation,2021-09-04,6051412,136362,36112285,40171812,36112285
E92000001,England,nation,2021-09-03,6028446,136237,35994919,40138908,35994919
E92000001,England,nation,2021-09-02,6000332,136095,35896281,40110330,35896281
E92000001,England,nation,2021-09-01,5970350,135979,35793528,40078565,35793528
E92000001,England,nation,2021-08-31,5939414,135864,35693044,40045609,35693044
E92000001,England,nation,2021-08-30,5906558,135755,35589351,40012920,35589351
E92000001,England,nation,2021-08-29,5882156,135640,35537677,39998214,35537677
E92000001,England,nation,2021-08-28,5863423,135518,35472513,39978627,35472513
E92000001,England,nation,2021-08-27,5843739,135401,35355156,39941535,35355156
E92000001,England,nation,2021-08-26,5820025,135277,35239594,39904796,35239594
E92000001,England,nation,2021-08-25,5794131,135155,35112319,39859786,35112319
E92000001,England,nation,2021-08-24,5766888,135050,34985015,39809508,34985015
E92000001,England,nation,2021-08-23,5739342,134927,34861868,39762841,34861868
E92000001,England,nation,2021-08-22,5709677,134820,34750067,39726601,34750067
E92000001,England,nation,2021-08-21,5687727,134692,34653997,39694950,34653997
E92000001,England,nation,2021-08-20,5665583,134582,34478147,39633545,34478147
E92000001,England,nation,2021-08-19,5640580,134467,34331304,39582802,34331304
E92000001,England,nation,2021-08-18,5612187,134354,34177226,39535954,34177226
E92000001,England,nation,2021-08-17,5581489,134258,34030877,39497789,34030877
E92000001,England,nation,2021-08-16,5551156,134154,33911208,39465787,33911208
E92000001,England,nation,2021-08-15,5521010,134071,33795301,39438012,33795301
E92000001,England,nation,2021-08-14,5500170,133986,33693734,39413576,33693734
E92000001,England,nation,2021-08-13,5479260,133894,33516067,39373992,33516067
E92000001,England,nation,2021-08-12,5454805,133795,33371259,39344184,33371259
E92000001,England,nation,2021-08-11,5427734,133694,33206110,39310610,33206110
E92000001,England,nation,2021-08-10,5399244,133605,33059709,39278028,33059709
E92000001,England,nation,2021-08-09,5372261,133527,32939592,39251458,32939592
E92000001,England,nation,2021-08-08,5344629,133446,32829485,39231045,32829485
E92000001,England,nation,2021-08-07,5324926,133367,32734149,39212640,32734149
E92000001,England,nation,2021-08-06,5305428,133271,32545395,39179245,32545395
E92000001,England,nation,2021-08-05,5281132,133186,32405568,39153383,32405568
E92000001,England,nation,2021-08-04,5253617,133090,32263651,39126513,32263651
E92000001,England,nation,2021-08-03,5225379,133003,32131976,39100253,32131976
E92000001,England,nation,2021-08-02,5198973,132927,32023525,39076237,32023525
E92000001,England,nation,2021-08-01,5172998,132852,31931765,39055121,31931765
E92000001,England,nation,2021-07-31,5154783,132767,31839059,39036649,31839059
E92000001,England,nation,2021-07-30,5136778,132680,31653379,39003586,31653379
E92000001,England,nation,2021-07-29,5115186,132582,31513245,38975468,31513245
E92000001,England,nation,2021-07-28,5090397,132504,31370448,38944057,31370448
E92000001,England,nation,2021-07-27,5064056,132432,31239703,38913983,31239703
E92000001,England,nation,2021-07-26,5038617,132369,31125298,38886289,31125298
E92000001,England,nation,2021-07-25,5012693,132300,31018888,38860630,31018888
E92000001,England,nation,2021-07-24,4993458,132232,30924345,38840455,30924345
E92000001,England,nation,2021-07-23,4973610,132165,30742765,38801455,30742765
E92000001,England,nation,2021-07-22,4949597,132091,30588992,38766219,30588992
E92000001,England,nation,2021-07-21,4922435,132016,30433855,38729515,30433855
E92000001,England,nation,2021-07-20,4891396,131964,30289477,38692678,30289477
E92000001,England,nation,2021-07-19,4856278,131911,30165702,38659864,30165702
E92000001,England,nation,2021-07-18,4813842,131834,30058564,38629906,30058564
E92000001,England,nation,2021-07-17,4781347,131767,29953360,38602652,29953360
E92000001,England,nation,2021-07-16,4746706,131717,29749941,38542155,29749941
E92000001,England,nation,2021-07-15,4696575,131671,29583295,38492657,29583295
E92000001,England,nation,2021-07-14,4640208,131620,29413893,38440271,29413893
E92000001,England,nation,2021-07-13,4590927,131582,29265296,38391287,29265296
E92000001,England,nation,2021-07-12,4548616,131538,29142452,38344605,29142452
E92000001,England,nation,2021-07-11,4508975,131501,29048744,38305183,29048744
E92000001,England,nation,2021-07-10,4482038,131470,28966133,38271733,28966133
E92000001,England,nation,2021-07-09,4457111,131435,28786706,38188307,28786706
E92000001,England,nation,2021-07-08,4428648,131393,28641763,38110482,28641763
E92000001,England,nation,2021-07-07,4399371,131357,28505292,38028219,28505292
E92000001,England,nation,2021-07-06,4365859,131326,28377904,37955401,28377904
E92000001,England,nation,2021-07-05,4334899,131302,28270690,37886303,28270690
E92000001,England,nation,2021-07-04,4305373,131276,28165766,37826130,28165766
E92000001,England,nation,2021-07-03,4284051,131250,28079760,37763287,28079760
E92000001,England,nation,2021-07-02,4263846,131221,27910973,37639373,27910973
E92000001,England,nation,2021-07-01,4242103,131191,27772781,37536439,27772781
E92000001,England,nation,2021-06-30,4218485,131165,27627786,37417170,27627786
E92000001,England,nation,2021-06-29,4195077,131137,27491563,37300904,27491563
E92000001,England,nation,2021-06-28,4172397,131114,27379302,37188523,27379302
E92000001,England,nation,2021-06-27,4149518,131100,27277343,37087712,27277343
E92000001,England,nation,2021-06-26,4134473,131078,27178856,36969213,27178856
E92000001,England,nation,2021-06-25,4121291,131065,27000508,36752793,27000508
E92000001,England,nation,2021-06-24,4106774,131040,26869052,36574740,26869052
E92000001,England,nation,2021-06-23,4092063,131015,26734920,36377508,26734920
E92000001,England,nation,2021-06-22,4077666,131009,26615143,36200724,26615143
E92000001,England,nation,2021-06-21,4064453,130995,26494122,36039542,26494122
E92000001,England,nation,2021-06-20,4052046,130979,26400509,35915426,26400509
E92000001,England,nation,2021-06-19,4044040,130957,26321003,35773954,26321003
E92000001,England,nation,2021-06-18,4037100,130935,26120674,35512506,26120674
E92000001,England,nation,2021-06-17,4028593,130918,25956398,35314049,25956398
E92000001,England,nation,2021-06-16,4019392,130908,25783453,35099365,25783453
E92000001,England,nation,2021-06-15,4010237,130890,25604893,34926540,25604893
E92000001,England,nation,2021-06-14,4001368,130872,25432882,34774723,25432882
E92000001,England,nation,2021-06-13,3992679,130860,25268912,34664887,25268912
E92000001,England,nation,2021-06-12,3986770,130848,25116672,34540384,25116672
E92000001,England,nation,2021-06-11,3981514,130832,24836677,34307005,24836677
E92000001,England,nation,2021-06-10,3975179,130818,24587741,34128874,24587741
E92000001,England,nation,2021-06-09,3968649,130803,24337036,33952661,24337036
E92000001,England,nation,2021-06-08,3961930,130788,24083142,33801596,24083142
E92000001,England,nation,2021-06-07,3955502,130774,23835383,33695291,23835383
E92000001,England,nation,2021-06-06,3948906,130767,23600574,33611047,23600574
E92000001,England,nation,2021-06-05,3944296,130755,23382798,33510874,23382798
E92000001,England,nation,2021-06-04,3940436,130746,22956285,33329396,22956285
E92000001,England,nation,2021-06-03,3935696,130731,22634497,33179973,22634497
E92000001,England,nation,2021-06-02,3930723,130717,22324386,33020032,22324386
E92000001,England,nation,2021-06-01,3925804,130705,22042216,32888155,22042216
E92000001,England,nation,2021-05-31,3921470,130695,21771544,32815832,21771544
E92000001,England,nation,2021-05-30,3918407,130682,21623646,32745185,21623646
E92000001,England,nation,2021-05-29,3915875,130668,21449957,32646303,21449957
E92000001,England,nation,2021-05-28,3913483,130657,21070167,32485525,21070167
E92000001,England,nation,2021-05-27,3910656,130640,20697511,32306390,20697511
E92000001,England,nation,2021-05-26,3907695,130623,20339558,32066325,20339558
E92000001,England,nation,2021-05-25,3904626,130606,19972227,31856882,19972227
E92000001,England,nation,2021-05-24,3901933,130598,19648918,31697813,19648918
E92000001,England,nation,2021-05-23,3899316,130583,19390034,31609387,19390034
E92000001,England,nation,2021-05-22,3897475,130568,19169641,31504957,19169641
E92000001,England,nation,2021-05-21,3895941,130560,18646833,31318806,18646833
E92000001,England,nation,2021-05-20,3894142,130537,18275331,31125256,18275331
